Date,Open
2017-06-22,1694.95
2017-06-23,1702
2017-06-27,1689
2017-06-28,1665
2017-06-29,1667
2017-06-30,1653.8
2017-07-03,1652.6
2017-07-04,1660.25
2017-07-05,1653.1
2017-07-06,1652.55
2017-07-07,1660.85
2017-07-10,1670.7
2017-07-11,1677.55
2017-07-12,1680
2017-07-13,1688
2017-07-14,1683.9
2017-07-17,1682.55
2017-07-18,1679.7
2017-07-19,1685
2017-07-20,1693.9
2017-07-21,1714.1
2017-07-24,1710
2017-07-25,1759
2017-07-26,1742
2017-07-27,1756
2017-07-28,1772
2017-07-31,1777.55
2017-08-01,1781.85
2017-08-02,1807
2017-08-03,1788
2017-08-04,1777
2017-08-07,1786
2017-08-08,1792.1
2017-08-09,1771
2017-08-10,1760
2017-08-11,1745
2017-08-14,1753
2017-08-16,1762.35
2017-08-17,1776.25
2017-08-18,1760
2017-08-21,1754
2017-08-22,1751.3
2017-08-23,1750
2017-08-24,1774.9
2017-08-28,1762.4
2017-08-29,1759
2017-08-30,1751.95
2017-08-31,1772
2017-09-01,1781
2017-09-04,1765
2017-09-05,1757
2017-09-06,1743.75
2017-09-07,1760.1
2017-09-08,1773.4
2017-09-11,1793
2017-09-12,1827.7
2017-09-13,1835
2017-09-14,1840.15
2017-09-15,1836
2017-09-18,1853.55
2017-09-19,1864.9
2017-09-20,1848
2017-09-21,1848
2017-09-22,1834.8
2017-09-25,1822.45
2017-09-26,1789.05
2017-09-27,1796
2017-09-28,1774
2017-09-29,1800.1
2017-10-03,1808
2017-10-04,1807.9
2017-10-05,1795
2017-10-06,1798
2017-10-09,1798.8
2017-10-10,1799
2017-10-11,1803.25
2017-10-12,1795.1
2017-10-13,1826.7
2017-10-16,1860
2017-10-17,1850
2017-10-18,1841
2017-10-19,1861.8
2017-10-23,1859.9
2017-10-24,1863
2017-10-25,1860
2017-10-26,1768
2017-10-27,1804.4
2017-10-30,1798.25
2017-10-31,1811.5
2017-11-01,1815.1
2017-11-02,1823
2017-11-03,1825.7
2017-11-06,1825
2017-11-07,1838
2017-11-08,1825.2
2017-11-09,1827
2017-11-10,1821.7
2017-11-13,1822
2017-11-14,1815.9
2017-11-15,1798
2017-11-16,1804
2017-11-17,1828.7
2017-11-20,1829
2017-11-21,1837.45
2017-11-22,1849.7
2017-11-23,1859
2017-11-24,1843
2017-11-27,1849
2017-11-28,1856
2017-11-29,1865
2017-11-30,1868.7
2017-12-01,1854.9
2017-12-04,1854.9
2017-12-05,1826
2017-12-06,1819.95
2017-12-07,1806.65
2017-12-08,1814
2017-12-11,1848
2017-12-12,1849.1
2017-12-13,1820.05
2017-12-14,1824
2017-12-15,1856
2017-12-18,1855
2017-12-19,1879.8
2017-12-20,1898.9
2017-12-21,1879.9
2017-12-22,1879
2017-12-26,1881
2017-12-27,1870.1
2017-12-28,1858.9
2017-12-29,1876.8
2018-01-01,1872.7
2018-01-02,1858.55
2018-01-03,1875
2018-01-04,1853
2018-01-05,1863
2018-01-08,1865
2018-01-09,1862
2018-01-10,1865.2
2018-01-11,1864.2
2018-01-12,1873
2018-01-15,1869.95
2018-01-16,1903.45
2018-01-17,1897
2018-01-18,1924
2018-01-19,1935.15
2018-01-22,1960
2018-01-23,1965
2018-01-24,1952.55
2018-01-25,1953.9
2018-01-29,1978
2018-01-30,1997.8
2018-01-31,1989.4
2018-02-01,2006
2018-02-02,1986
2018-02-05,1918
2018-02-06,1860
2018-02-07,1907
2018-02-08,1884
2018-02-09,1847.9
2018-02-12,1860
2018-02-14,1889.8
2018-02-15,1889.7
2018-02-16,1883.9
2018-02-19,1882.6
2018-02-20,1884.75
2018-02-21,1867.95
2018-02-22,1850
2018-02-23,1856.9
2018-02-26,1888.1
2018-02-27,1914.75
2018-02-28,1889.55
2018-03-01,1879.3
2018-03-05,1874.15
2018-03-06,1870
2018-03-07,1840
2018-03-08,1839.8
2018-03-09,1854.95
2018-03-12,1860.2
2018-03-13,1867.45
2018-03-14,1856
2018-03-15,1865.2
2018-03-16,1880
2018-03-19,1853
2018-03-20,1845.1
2018-03-21,1848
2018-03-22,1858.9
2018-03-23,1846.65
2018-03-26,1839.9
2018-03-27,1893.8
2018-03-28,1882.95
2018-04-02,1890.5
2018-04-03,1923.95
2018-04-04,1912.95
2018-04-05,1901.3
2018-04-06,1912.2
2018-04-09,1918.8
2018-04-10,1943
2018-04-11,1915.9
2018-04-12,1916
2018-04-13,1928
2018-04-16,1920
2018-04-17,1943.5
2018-04-18,1951
2018-04-19,1940
2018-04-20,1941
2018-04-23,1979
2018-04-24,1935
2018-04-25,1927.9
2018-04-26,1916.8
2018-04-27,1933
2018-04-30,1930
2018-05-02,1950
2018-05-03,1968.05
2018-05-04,1970
2018-05-07,1981.65
2018-05-08,1979.25
2018-05-09,1956.15
2018-05-10,1988.6
2018-05-11,1992.7
2018-05-14,2017.2
2018-05-15,2027.05
2018-05-16,2030.55
2018-05-17,2023.85
2018-05-18,2024.7
2018-05-21,2016.1
2018-05-22,1998.7
2018-05-23,1987.8
2018-05-24,1967.1
2018-05-25,1990
2018-05-28,2007.8
2018-05-29,2038
2018-05-30,2019.7
2018-05-31,2100
2018-06-01,2116
2018-06-04,2150
2018-06-05,2050
2018-06-06,2060.2
2018-06-07,2073.2
2018-06-08,2059
2018-06-11,2051.9
2018-06-12,2051.9
2018-06-13,2052
2018-06-14,2030
2018-06-15,2026
2018-06-18,2030.1
2018-06-19,2024.95
2018-06-20,2026
2018-06-21,2060
2018-06-22,2056.95
2018-06-25,2083.05
2018-06-26,2086.05
2018-06-27,2093
2018-06-28,2115
2018-06-29,2121.7
2018-07-02,2108.35
2018-07-03,2073.25
2018-07-04,2076.25
2018-07-05,2105
2018-07-06,2113.3
2018-07-09,2121.85
2018-07-10,2129.9
2018-07-11,2145.05
2018-07-12,2152.9
2018-07-13,2168.4
2018-07-16,2179.4
2018-07-17,2163.25
2018-07-18,2187
2018-07-19,2183
2018-07-20,2186.1
2018-07-23,2150
2018-07-24,2147
2018-07-25,2164.65
2018-07-26,2165
2018-07-27,2201.95
2018-07-30,2199
2018-07-31,2160
2018-08-01,2162.8
2018-08-02,2153.5
2018-08-03,2133.55
2018-08-06,2121
2018-08-07,2125
2018-08-08,2135.85
2018-08-09,2142
2018-08-10,2123.5
2018-08-13,2084
2018-08-14,2098
2018-08-16,2083
2018-08-17,2082.9
2018-08-20,2075
2018-08-21,2098
2018-08-23,2105
2018-08-24,2071
2018-08-27,2077
2018-08-28,2088
2018-08-29,2092.15
2018-08-30,2083.6
2018-08-31,2069.2
2018-09-03,2069.4
2018-09-04,2076.9
2018-09-05,2053.8
2018-09-06,2049
2018-09-07,2051
2018-09-10,2055
