Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-06-27,AXISBANK,EQ,788.6,788.95,806.85,781.6,800.5,800.45,798.26,18439210,1.47193E+15,213352,8413740,0.4563
2019-06-27,HDFCBANK,EQ,2467.9,2468.75,2494.5,2456.15,2460.6,2462.3,2472.34,4969809,1.2287E+15,157798,2787079,0.5608
2019-06-28,ICICIBANK,EQ,440.95,439.5,440.5,433.6,436.7,437.1,437.24,13459208,5.88494E+14,124084,6676206,0.496
2019-06-28,AXISBANK,EQ,800.45,801.15,812.9,793.3,809.75,808.55,804.75,9174348,7.38309E+14,130644,3419593,0.3727
2019-06-28,HDFCBANK,EQ,2462.3,2464,2475,2437.05,2441,2443.75,2451.45,3189211,7.81819E+14,113150,2204518,0.6912
2019-07-01,ICICIBANK,EQ,437.1,439.5,442,437.7,438,439,440.52,6871979,3.02727E+14,81553,3111616,0.4528
2019-07-01,AXISBANK,EQ,808.55,810.75,819,807.45,808.05,810.45,814.21,5896530,4.80099E+14,116881,2529729,0.429
2019-07-01,HDFCBANK,EQ,2443.75,2456,2489,2450.05,2486,2485.55,2476.08,2131040,5.27662E+14,110592,1257676,0.5902
2019-07-02,ICICIBANK,EQ,439,439,440,433.6,436.9,436.75,436.41,7787303,3.39846E+14,108074,3459006,0.4442
2019-07-02,AXISBANK,EQ,810.45,811.1,812.55,800.75,802.55,802.6,804.84,7549027,6.07576E+14,102021,4702057,0.6229
2019-07-02,HDFCBANK,EQ,2485.55,2488,2497.5,2467.2,2491.15,2495,2484.49,1811707,4.50116E+14,89307,871145,0.4808
2019-07-03,ICICIBANK,EQ,436.75,437.9,440,434.2,435.55,435.95,436.58,10415896,4.54738E+14,124380,5950754,0.5713
2019-07-03,AXISBANK,EQ,802.6,802.65,811.5,801.5,806.25,806.2,806.92,5535230,4.46649E+14,109313,2803106,0.5064
2019-07-03,HDFCBANK,EQ,2495,2499,2503.3,2483,2488.3,2489.65,2496.5,1865814,4.65801E+14,74725,995571,0.5336
2019-07-04,ICICIBANK,EQ,435.95,438,441.4,434.1,434.4,436.2,438.41,11810688,5.17794E+14,112042,6524616,0.5524
2019-07-04,AXISBANK,EQ,806.2,810,813.2,804.3,807.9,808.85,808.72,5553273,4.49105E+14,87628,2413945,0.4347
2019-07-04,HDFCBANK,EQ,2489.65,2494.8,2497.9,2472,2482.85,2483.8,2484.12,1998491,4.96449E+14,81894,988000,0.4944
2019-07-05,ICICIBANK,EQ,436.2,436.45,439.9,433.2,435.65,436.35,436.79,12154330,5.30887E+14,95496,6010725,0.4945
2019-07-05,AXISBANK,EQ,808.85,808,812.95,801.3,806.2,806.1,807.56,5871202,4.74134E+14,98410,3091262,0.5265
2019-07-05,HDFCBANK,EQ,2483.8,2485.1,2494.95,2460,2469,2472.4,2478.09,1895765,4.69787E+14,72714,995517,0.5251
2019-07-08,ICICIBANK,EQ,436.35,434,435.35,422,426.75,425.9,427.7,12184946,5.21155E+14,121950,6069523,0.4981
